"Packet","Sequence","Delta (ms)","Jitter (ms)","Skew","Bandwidth","Marker","Status"
"127.0.0.1:56795 → 127.0.0.1:5004 (0x03b7f841)"
173,11556,5.880468999999948,0.04615367243208699,11655.874601555555,1822.464,"","OK"
174,11557,5.928484000000026,0.04782709568284326,11655.801673111111,1833.312,"","OK"
175,11558,5.790907000000061,0.049572881369335985,11655.877432777777,1844.16,"","OK"
176,11559,5.931113000000096,0.05119691656151856,11655.801875333334,1855.008,"","OK"
177,11560,5.780168999999887,0.052708768998670615,11655.87726188889,1865.856,"","OK"
178,11561,5.971712999999909,0.05667431121412178,11655.761104444444,1876.704,"","OK"
179,11562,5.714692000000014,0.06193613898547822,11655.901968,1887.552,"","OK"
180,11563,5.978667000000087,0.06575959557665134,11655.778856555555,1898.4,"","OK"
181,11564,5.855540000000019,0.06234503751978369,11655.789983222223,1909.248,"","OK"
182,11565,5.842466999999942,0.059266507397040716,11655.803071777778,1920.096,"","OK"
183,11566,5.762885000000097,0.061354260406959536,11655.895742333334,1930.944,"","OK"
184,11567,5.962421999999833,0.06419877190927423,11655.78887588889,1941.792,"","OK"
185,11568,5.774716000000126,0.06523882088706294,11655.869715444444,1952.64,"","OK"
186,11569,5.858752999999979,0.06165599874829708,11655.87762911111,1963.488,"","OK"
187,11570,5.946678999999904,0.0634977141042826,11655.786505666667,1974.336,"","OK"
188,11571,5.25522100000012,0.06510557225056302,11655.87572911111,1985.184,"","OK"
189,11572,5.346847000000025,0.061186633707098835,11655.873326555557,1996.032,"","OK"
190,11573,5.41882499999997,0.06201125382271139,11655.798945999999,2006.88,"","OK"
191,11574,5.271028999999999,0.06272401573659758,11655.872361444444,2017.728,"","OK"
192,11575,5.443553999999949,0.06569255641968583,11655.762140777779,2028.576,"","OK"
193,11576,5.215904000000137,0.06962054942125248,11655.890681222223,2039.424,"","OK"
194,11577,5.342154999999821,0.0654123553601273,11655.892970666666,2050.272,"","OK"
195,11578,5.458881000000019,0.06847636787231498,11655.77853411111,2061.12,"","OK"
196,11579,5.312278000000106,0.06620699765809425,11655.810700555556,2071.968,"","OK"
